Title,Genre(s),Director(s),Rating
Togo,"Adventure, Family",Ericson Core,82
Wonder,"Drama, Family",Stephen Chbosky,82
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,"Animation, Adventure, Comedy, Fantasy",Takaomi Kanasaki,82
Soul,"Animation, Family, Comedy, Fantasy, Drama",Pete Docter,82
Metropolis,"Drama, Science Fiction",Fritz Lang,82
The Father,Drama,Florian Zeller,82
Michael Jackson's Thriller,"Horror, Music",John Landis,82
All About Eve,Drama,Joseph L. Mankiewicz,82
Central Station,Drama,Walter Salles,81
Homecoming: A Film by Beyoncé,"Documentary, Music",Beyoncé,81
My Friends,Comedy,Mario Monicelli,81
Good Will Hunting,Drama,Gus Van Sant,81
Innocent Voices,"Drama, War",Luis Mandoki,81
Wild Strawberries,Drama,Ingmar Bergman,81
Alien,"Horror, Science Fiction",Ridley Scott,81
The Great War,"Drama, Comedy, War",Mario Monicelli,81
Double Indemnity,"Crime, Drama, Mystery, Thriller",Billy Wilder,81
La Dolce Vita,"Comedy, Drama",Federico Fellini,81
Full Metal Jacket,"Drama, War",Stanley Kubrick,81
Reservoir Dogs,"Crime, Thriller",Quentin Tarantino,81
Prayers for Bobby,"Drama, History, TV Movie",Russell Mulcahy,81
Yojimbo,"Drama, Thriller",Akira Kurosawa,81
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama, Comedy, War",Stanley Kubrick,81
Me Against You: Mr. S's Vendetta,"Family, Fantasy",Gianluca Leuzzi,81
"Lock, Stock and Two Smoking Barrels","Comedy, Crime",Guy Ritchie,81
Believe Me: The Abduction of Lisa McVey,"Drama, TV Movie",Jim Donovan,81
The Truman Show,"Comedy, Drama",Peter Weir,81
Rashomon,"Crime, Drama, Mystery",Akira Kurosawa,81
Ayla: The Daughter of War,"Drama, War, History",Can Ulkay,81
Far from the Tree,"Animation, Family",Natalie Nourigat,81
The Invisible Guest,"Drama, Mystery, Thriller",Oriol Paulo,81
Bo Burnham: Make Happy,"Comedy, Music","Bo Burnham, Christopher Storer",81
Sherlock Jr.,"Action, Comedy, Mystery",Buster Keaton,81
Bound by Honor,"Crime, Action, Drama, Thriller",Taylor Hackford,81
Some Like It Hot,"Comedy, Music, Romance, Crime",Billy Wilder,81
Black Beauty,Drama,Ashley Avis,81
Andrei Rublev,"Drama, History",Andrei Tarkovsky,81
In the Mood for Love,"Drama, Romance",Wong Kar-wai,81
Silenced,Drama,Hwang Dong-hyuk,81
Harry Potter and the Deathly Hallows: Part 2,"Fantasy, Adventure",David Yates,81
Big Deal on Madonna Street,"Comedy, Crime",Mario Monicelli,81
Dear Zachary: A Letter to a Son About His Father,"Documentary, Crime",Kurt Kuenne,81
The Tale of The Princess Kaguya,"Animation, Drama, Fantasy",Isao Takahata,81
I corti,Comedy,Arturo Brachetti,81
Along with the Gods: The Two Worlds,"Action, Adventure, Fantasy, Thriller",Kim Yong-hwa,81
M,"Drama, Action, Thriller, Crime",Fritz Lang,81
Senna,"Documentary, History",Asif Kapadia,81
Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance",Michel Gondry,81
The Salt of the Earth,Documentary,"Juliano Ribeiro Salgado, Wim Wenders",81
Incendies,"Drama, War, Mystery",Denis Villeneuve,81
Terminator 2: Judgment Day,"Action, Thriller, Science Fiction",James Cameron,81
The Hunt,Drama,Thomas Vinterberg,81
"Paris, Texas",Drama,Wim Wenders,81
Palmer,Drama,Fisher Stevens,81
There Will Be Blood,Drama,Paul Thomas Anderson,81
How to Train Your Dragon: Homecoming,"Animation, Fantasy, Adventure, Action, Family",Tim Johnson,81
Lion,Drama,Garth Davis,81
"Three Billboards Outside Ebbing, Missouri","Crime, Drama",Martin McDonagh,81
Prisoners,"Drama, Thriller, Crime",Denis Villeneuve,81
2001: A Space Odyssey,"Science Fiction, Mystery, Adventure",Stanley Kubrick,81
Pride & Prejudice,"Drama, Romance",Joe Wright,81
La Haine,Drama,Mathieu Kassovitz,81
Das Boot,"Drama, History, War",Wolfgang Petersen,81
Rocco and His Brothers,"Crime, Drama, Romance",Luchino Visconti,81
Paris Is Burning,Documentary,Jennie Livingston,81
WALL·E,"Animation, Family, Science Fiction",Andrew Stanton,81
Ran,"Action, Drama, History",Akira Kurosawa,81
El mesero,Comedy,Raúl Martínez,81
The 400 Blows,Drama,François Truffaut,81
Cruella,"Comedy, Crime",Craig Gillespie,81
My Neighbor Totoro,"Fantasy, Animation, Family",Hayao Miyazaki,81
"Veinteañera, Divorciada y Fantástica",Comedy,Noé Santillán-López,81
A Special Day,"Drama, Romance",Ettore Scola,81
Memories of Murder,"Crime, Drama, Thriller",Bong Joon-ho,81
Elite Squad,"Drama, Action, Crime",José Padilha,81
Guardians of the Galaxy Vol. 3,"Science Fiction, Adventure, Action",James Gunn,81
A Taxi Driver,"Action, Drama, History",Jang Hoon,81
The Best of Youth,"Drama, History, Romance",Marco Tullio Giordana,81
Hidden Figures,"Drama, History",Theodore Melfi,81
Samsara,Documentary,Ron Fricke,81
"Toto, Peppino, and the Hussy","Comedy, Romance",Camillo Mastrocinque,81
The Elephant Man,"Drama, History",David Lynch,81
The Young and the Damned,"Crime, Drama",Luis Buñuel,81
New Gods: Nezha Reborn,"Animation, Action, Fantasy",Zhao Ji,81
On My Skin,Drama,Alessio Cremonini,81
The Grand Budapest Hotel,"Comedy, Drama",Wes Anderson,81
Gifted,"Drama, Comedy",Marc Webb,81
Judgment at Nuremberg,"Drama, History, War",Stanley Kramer,81
Jojo Rabbit,"Comedy, War, Drama",Taika Waititi,80
"Love, Simon","Comedy, Drama, Romance",Greg Berlanti,80
My Name Is Khan,"Drama, Romance",Karan Johar,80
Pather Panchali,"Drama, History",Satyajit Ray,80
Won't You Be My Neighbor?,Documentary,Morgan Neville,80
The Second Mother,Drama,Anna Muylaert,80
Paper Lives,Drama,Can Ulkay,80
Dersu Uzala,"Action, Adventure, Drama",Akira Kurosawa,80
The Passion of Joan of Arc,"Drama, History",Carl Theodor Dreyer,80
The Lives of Others,"Drama, Thriller",Florian Henckel von Donnersmarck,80
Nobody,"Action, Crime, Thriller",Ilya Naishuller,80
The Thing,"Horror, Mystery, Science Fiction",John Carpenter,80
Amadeus,"History, Music, Drama",Miloš Forman,80
The Wolf of Wall Street,"Crime, Drama, Comedy",Martin Scorsese,80
Late Spring,Drama,Yasujirō Ozu,80
A Dog's Journey,"Family, Adventure, Drama",Gail Mancuso,80
Loving Vincent,"Animation, Drama, Mystery, History","Dorota Kobiela, Hugh Welchman",80
Room,"Drama, Thriller",Lenny Abrahamson,80
Nights of Cabiria,Drama,Federico Fellini,80
Requiem for a Dream,"Crime, Drama",Darren Aronofsky,80
Kitbull,"Animation, Family, Drama",Rosana Sullivan,80
In a Heartbeat,"Family, Animation, Romance, Comedy","Beth David, Esteban Bravo",80
American Beauty,Drama,Sam Mendes,80
The Wages of Fear,"Drama, Thriller, Adventure",Henri-Georges Clouzot,80
Dial M for Murder,"Crime, Thriller",Alfred Hitchcock,80
Bingo: The King of the Mornings,"Comedy, Drama",Daniel Rezende,80
The Gold Rush,"Adventure, Comedy, Drama",Charlie Chaplin,80
Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy",Alfonso Cuarón,80
The Sting,"Comedy, Crime, Drama",George Roy Hill,80
For a Few Dollars More,Western,Sergio Leone,80
The Red Shoes,"Drama, Romance","Emeric Pressburger, Michael Powell",80
Mirror,"Drama, History",Andrei Tarkovsky,80
The Circus,"Comedy, Family, Romance",Charlie Chaplin,80
"Rome, Open City","Drama, History, War",Roberto Rossellini,80
Citizen Kane,"Mystery, Drama",Orson Welles,80
Chungking Express,"Drama, Comedy, Romance",Wong Kar-wai,80
Casino,"Crime, Drama, History",Martin Scorsese,80
In This Corner of the World,"Drama, Animation, Romance, War, History",Sunao Katabuchi,80
Weathering with You,"Animation, Drama, Fantasy, Romance",Makoto Shinkai,80
"Argentina, 1985","Drama, History",Santiago Mitre,80
The Boy and the Beast,"Action, Adventure, Animation, Drama, Family, Fantasy",Mamoru Hosoda,80
Autumn Sonata,Drama,Ingmar Bergman,80
The Whale,Drama,Darren Aronofsky,80
Ford v Ferrari,"Drama, Action, History",James Mangold,80
The Imitation Game,"History, Drama, Thriller, War",Morten Tyldum,80
Song of the Sea,"Family, Animation, Fantasy",Tomm Moore,80
Barry Lyndon,"Drama, Romance, War",Stanley Kubrick,80
To Kill a Mockingbird,"Drama, Crime",Robert Mulligan,80
No Manches Frida 2,Comedy,Nacho G. Velilla,80
Hachi: A Dog's Tale,"Drama, Family",Lasse Hallström,80
The Deer Hunter,"Drama, War",Michael Cimino,80
Bohemian Rhapsody,"Music, Drama, History",Bryan Singer,80
Paperman,"Animation, Family, Romance",John Kahrs,80
Gran Torino,Drama,Clint Eastwood,80
In the Arms of an Assassin,"Romance, Thriller",Matías Moltrasio,80
Spider-Man: No Way Home,"Action, Adventure, Science Fiction",Jon Watts,80
The Treasure of the Sierra Madre,"Adventure, Drama, Western",John Huston,80
Love Exposure,"Action, Comedy, Drama, Romance",Sion Sono,80
The Secret in Their Eyes,"Crime, Mystery, Thriller, Romance, Drama",Juan José Campanella,80
The General,"Comedy, War","Clyde Bruckman, Buster Keaton",80
Forgotten,"Thriller, Mystery, Drama",Jang Hang-jun,80
Where Hands Touch,"War, Drama, Romance",Amma Asante,80
Castaway on the Moon,"Drama, Comedy, Romance",Lee Hae-jun,80
North by Northwest,"Mystery, Thriller",Alfred Hitchcock,80
CODA,"Drama, Music, Romance",Siân Heder,80
1917,"War, Drama, History",Sam Mendes,80
3 Idiots,"Drama, Comedy",Rajkumar Hirani,80
Pink Floyd: The Wall,"Music, Drama",Alan Parker,80
Avicii: True Stories,"Music, Documentary",Levan Tsikurishvili,80
Flipped,"Romance, Drama",Rob Reiner,80
Ugetsu,"Fantasy, Drama, Mystery",Kenji Mizoguchi,80
Ron's Gone Wrong,"Animation, Science Fiction, Family, Comedy","Sarah Smith, Jean-Philippe Vine",80
13th,Documentary,Ava DuVernay,80
The Exterminating Angel,"Comedy, Drama, Fantasy",Luis Buñuel,80
Tae Guk Gi: The Brotherhood of War,"Action, Adventure, Drama, History, War",Kang Je-kyu,80
Wish Dragon,"Animation, Family, Comedy, Fantasy",Chris Appelhans,80
Lawrence of Arabia,"Adventure, Drama, History, War",David Lean,80
A Man Escaped,"Thriller, Drama, War, History",Robert Bresson,80
Nobody Knows,Drama,Hirokazu Kore-eda,80
Like Stars on Earth,Drama,Aamir Khan,80
The Hidden Fortress,"Adventure, Drama, Action, Comedy",Akira Kurosawa,80
Before Sunrise,"Drama, Romance",Richard Linklater,80
Army of Shadows,"War, Drama, Thriller",Jean-Pierre Melville,80
Raging Bull,"Drama, History",Martin Scorsese,80
Gone with the Wind,"Drama, War, Romance","Sam Wood, Victor Fleming, George Cukor",80
Kill Bill: Vol. 1,"Action, Crime",Quentin Tarantino,80
The Way He Looks,"Drama, Romance",Daniel Ribeiro,80
Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",Quentin Tarantino,80
The Cranes Are Flying,"Drama, Romance, War",Mikhail Kalatozov,80
Cries and Whispers,Drama,Ingmar Bergman,80
Toy Story,"Animation, Adventure, Family, Comedy",John Lasseter,80
Trainspotting,"Drama, Crime",Danny Boyle,80
When Marnie Was There,"Animation, Drama, Family",Hiromasa Yonebayashi,80
Catch Me If You Can,"Drama, Crime",Steven Spielberg,80
Rope,"Crime, Drama, Thriller",Alfred Hitchcock,80
Sanjuro,"Drama, Action, Comedy",Akira Kurosawa,80
The Third Man,"Thriller, Mystery",Carol Reed,80
Million Dollar Baby,Drama,Clint Eastwood,80
Castle in the Sky,"Adventure, Fantasy, Animation, Action, Family, Romance",Hayao Miyazaki,80
Three Men and a Leg,Comedy,"Massimo Venier, Aldo Baglio, Giovanni Storti, Giacomo Poretti",80
Children of Heaven,"Drama, Family",Majid Majidi,80
A Trip to the Moon,"Adventure, Science Fiction",Georges Méliès,80
The Cabinet of Dr. Caligari,"Drama, Horror, Thriller, Crime",Robert Wiene,80
On the Waterfront,"Crime, Drama",Elia Kazan,80
La Notte,"Drama, Romance",Michelangelo Antonioni,80
Raise the Red Lantern,Drama,Zhang Yimou,80
Throne of Blood,"Drama, History",Akira Kurosawa,80
Dangal,"Drama, Family, Comedy, Action",Nitesh Tiwari,80
Finch,"Science Fiction, Drama, Adventure",Miguel Sapochnik,80
"Remi, Nobody's Boy","Adventure, Family, Drama",Antoine Blossier,80
Limelight,"Drama, Music, Romance, Comedy",Charlie Chaplin,80
Three Colors: Red,"Drama, Mystery, Romance",Krzysztof Kieślowski,80
The Cove,Documentary,Louie Psihoyos,80
Akira,"Animation, Science Fiction, Action",Katsuhiro Otomo,80
Tel chi el telùn,Comedy,Arturo Brachetti,79
The Mitchells vs. the Machines,"Animation, Adventure, Comedy",Mike Rianda,79
12 Years a Slave,"Drama, History",Steve McQueen,79
Miracle in Cell No. 7,"Drama, Comedy",Lee Hwan-kyung,79
The Boy Who Harnessed the Wind,"Drama, History, Family",Chiwetel Ejiofor,79
The Cameraman,"Comedy, Romance, Drama, Family","Edward Sedgwick, Buster Keaton",79
Up,"Animation, Comedy, Family, Adventure",Pete Docter,79
The Great Escape,"Adventure, Drama, History, Thriller, War",John Sturges,79
La Strada,Drama,Federico Fellini,79
Sing 2,"Animation, Family",Garth Jennings,79
The Sixth Sense,"Mystery, Thriller, Drama",M. Night Shyamalan,79
Thirteen Lives,"Drama, Thriller, Action, Adventure",Ron Howard,79
Words on Bathroom Walls,"Drama, Romance",Thor Freudenthal,79
The Postman,"Comedy, Drama, Romance",Michael Radford,79
My Father's Violin,"Drama, Music",Andaç Haznedaroğlu,79
Bad Genius,"Drama, Crime, Thriller, Comedy",Nattawut Poonpiriya,79
"Batman: The Dark Knight Returns, Part 2","Science Fiction, Action, Animation, Mystery",Jay Oliva,79
Emancipation,"Drama, War, History",Antoine Fuqua,79
Friends: The Reunion,Documentary,Ben Winston,79
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",Robert Aldrich,79
Jurassic Park,"Adventure, Science Fiction",Steven Spielberg,79
Dallas Buyers Club,"Drama, History",Jean-Marc Vallée,79
Whisper of the Heart,"Animation, Drama, Family",Yoshifumi Kondo,79
Nausicaä of the Valley of the Wind,"Adventure, Animation, Fantasy",Hayao Miyazaki,79
Dragon Ball Super: Super Hero,"Animation, Science Fiction, Action",Tetsuro Kodama,79
Charm City Kings,Drama,Ángel Manuel Soto,79
Ghost in the Shell,"Action, Animation, Science Fiction",Mamoru Oshii,79
