Title,Genre(s),Director(s),Rating
The Jewel of the Nile,"Adventure, Action, Comedy, Romance",Lewis Teague,62
Halloween,Horror,Rob Zombie,62
Entourage,Comedy,Doug Ellin,62
Percy Jackson & the Olympians: The Lightning Thief,"Adventure, Fantasy, Family",Chris Columbus,62
Halloween 4: The Return of Michael Myers,"Horror, Thriller",Dwight H. Little,62
King Kong,"Adventure, Fantasy",John Guillermin,62
Under the Riccione Sun,"Comedy, Romance","Antonio Usbergo, Niccolò Celaia",62
Mile 22,"Action, Thriller",Peter Berg,62
Asterix Conquers America,"Family, Animation, Adventure, Comedy",Gerhard Hahn,62
The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Fantasy, Romance",Bill Condon,62
The Land Before Time III: The Time of the Great Giving,"Animation, Adventure, Family",Roy Allen Smith,62
(T)Raumschiff Surprise - Periode 1,"Comedy, Science Fiction",Michael Herbig,62
We're No Angels,"Comedy, Crime",Neil Jordan,62
The Woman in Red,"Comedy, Romance",Gene Wilder,62
1492: Conquest of Paradise,"Action, Adventure, Drama, History",Ridley Scott,62
What Men Want,"Comedy, Romance",Adam Shankman,62
Monsters vs Aliens,"Animation, Family, Adventure, Science Fiction","Rob Letterman, Conrad Vernon",62
Mighty Joe Young,"Adventure, Family, Action, Fantasy",Ron Underwood,62
The Incredible Hulk,"Science Fiction, Action, Adventure",Louis Leterrier,62
A View to a Kill,"Adventure, Action, Thriller",John Glen,62
Dangerous,"Action, Thriller",David Hackl,62
The Angry Birds Movie,"Animation, Adventure, Comedy","Fergal Reilly, Clay Kaytis",62
Flash Gordon,"Science Fiction, Adventure, Fantasy, Action, Comedy",Mike Hodges,62
Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Fantasy, Family",Shawn Levy,62
Excision,"Drama, Horror",Richard Bates Jr.,62
The Land Before Time IV: Journey Through the Mists,"Adventure, Animation, Comedy, Family",Roy Allen Smith,62
Screamers,"Horror, Science Fiction",Christian Duguay,62
Dune,"Action, Science Fiction, Adventure",David Lynch,62
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Family, Comedy",Miguel Arteta,62
Biker Boyz,"Action, Drama",Reggie Rock Bythewood,62
Zoolander,Comedy,Ben Stiller,62
American Wedding,"Comedy, Romance",Jesse Dylan,62
Romeo Must Die,"Action, Crime, Thriller",Andrzej Bartkowiak,62
Naples in Veils,Thriller,Ferzan Özpetek,62
A Dark Song,"Horror, Fantasy, Mystery",Liam Gavin,62
The Haunting in Connecticut,"Thriller, Horror",Peter Cornwell,62
Tin Toy,"Animation, Family",John Lasseter,62
Spoiled Brats,Comedy,Nicolas Cuche,62
The Thing,"Horror, Science Fiction, Mystery, Thriller",Matthijs van Heijningen Jr.,62
Avalon High,"Fantasy, Family, Drama, TV Movie",Stuart Gillard,62
"Tomorrow, When the War Began","Action, Adventure, Drama",Stuart Beattie,62
Fun with Dick and Jane,Comedy,Dean Parisot,62
Code 8,"Science Fiction, Action, Crime, Thriller, Drama",Jeff Chan,62
Needful Things,"Drama, Horror",Fraser Clarke Heston,62
Veronica,Horror,Paco Plaza,62
Unknown Origins,"Drama, Thriller",David Galán Galindo,62
The Crew,"Drama, Crime, Thriller",Julien Leclercq,62
The Outcasts,Comedy,Peter Hutchings,62
StreetDance 2,"Music, Romance, Drama","Dania Pasquini, Max Giwa",62
Spies Like Us,"Comedy, Adventure",John Landis,62
V/H/S/94,"Horror, Thriller","Ryan Prows, Chloe Okuno, Timo Tjahjanto, Simon Barrett, Jennifer Reeder, Steven Kostanski",62
The Unknown Girl,"Thriller, Drama, Crime","Jean-Pierre Dardenne, Luc Dardenne",62
The Other Woman,Drama,Don Roos,62
Mad Max Beyond Thunderdome,"Action, Adventure, Science Fiction","George Miller, George Ogilvie",62
God's Not Dead 2,Drama,Harold Cronk,62
The House by the Cemetery,Horror,Lucio Fulci,62
The Little Shop of Horrors,"Horror, Comedy, Science Fiction",Roger Corman,62
Babe,"Fantasy, Drama, Comedy, Family",Chris Noonan,62
Deep Impact,"Action, Drama, Science Fiction",Mimi Leder,62
Paranormal Activity: Next of Kin,"Horror, Mystery, Thriller",William Eubank,62
Elizabethtown,"Comedy, Drama, Romance",Cameron Crowe,62
Kin,"Science Fiction, Action, Adventure, Thriller","Josh Baker, Jonathan Baker",62
Mood Indigo,"Drama, Fantasy",Michel Gondry,62
Message in a Bottle,"Romance, Drama",Luis Mandoki,62
Monster-in-Law,"Romance, Comedy",Robert Luketic,62
Entrapment,"Romance, Drama, Mystery",Jon Amiel,62
Beauty and the Beast: The Enchanted Christmas,"Animation, Family, Fantasy",Andrew Knight,62
The Death and Life of Bobby Z,"Drama, Action, Thriller, Crime",John Herzfeld,62
The Mothman Prophecies,"Drama, Horror, Mystery",Mark Pellington,62
Beneath the Planet of the Apes,"Adventure, Science Fiction, Mystery",Ted Post,62
Tales from the Darkside: The Movie,"Thriller, Comedy, Fantasy, Horror",John Harrison,62
Rock of Ages,"Comedy, Drama, Music, Romance",Adam Shankman,62
Death Warrant,"Action, Crime, Thriller",Deran Sarafian,62
Anything Else,"Comedy, Romance",Woody Allen,62
The Empty Man,"Horror, Mystery, Thriller",David Prior,62
A Bigger Splash,"Drama, Romance",Luca Guadagnino,62
Kill List,"Horror, Thriller, Crime",Ben Wheatley,62
The Edge of Love,"Drama, History, Romance",John Maybury,62
Land of the Dead,"Horror, Thriller, Science Fiction",George A. Romero,62
The Prince & Me,"Comedy, Romance",Martha Coolidge,62
The Prom,"Romance, Comedy",Ryan Murphy,62
Time Trap,"Science Fiction, Adventure","Mark Dennis, Ben Foster",62
Stretch,"Action, Comedy, Thriller",Joe Carnahan,62
Knight and Day,"Action, Comedy",James Mangold,62
The Hills Have Eyes,"Horror, Thriller",Wes Craven,62
The Replacement Killers,"Action, Drama, Crime, Thriller, Mystery",Antoine Fuqua,62
House of 1000 Corpses,"Horror, Crime",Rob Zombie,62
The Outsider,"Crime, Drama, Mystery",Martin Zandvliet,62
Escort in Love,Comedy,Massimiliano Bruno,62
The Exorcist III,"Horror, Mystery",William Peter Blatty,62
National Lampoon's European Vacation,"Adventure, Comedy, Romance",Amy Heckerling,62
Just Friends,"Comedy, Romance",Roger Kumble,62
Free Willy,"Family, Adventure, Drama",Simon Wincer,62
The Tourist,"Action, Thriller, Romance",Florian Henckel von Donnersmarck,62
The Invention of Lying,"Comedy, Fantasy, Romance","Matthew Robinson, Ricky Gervais",62
Paycheck,"Action, Adventure, Mystery, Science Fiction, Thriller",John Woo,62
Red Heat,"Action, Crime",Walter Hill,62
Femme Fatale,"Crime, Drama, Mystery, Thriller",Brian De Palma,62
The Interview,"Action, Comedy","Evan Goldberg, Seth Rogen",62
Youth in Revolt,"Comedy, Romance",Miguel Arteta,62
The Card Counter,"Crime, Thriller, Drama",Paul Schrader,62
Life of the Party,Comedy,Ben Falcone,62
Extinction,"Horror, Science Fiction",Miguel Ángel Vivas,62
Horrible Bosses 2,Comedy,Sean Anders,62
Here Comes the Boom,"Comedy, Action",Frank Coraci,62
Centurion,"Adventure, Action, Drama",Neil Marshall,62
Throw Momma from the Train,"Comedy, Crime",Danny DeVito,62
Spartan,"Mystery, Action, Drama, Thriller, Crime",David Mamet,62
"Jeff, Who Lives at Home","Drama, Comedy","Mark Duplass, Jay Duplass",62
Transformers: Dark of the Moon,"Action, Science Fiction, Adventure",Michael Bay,62
Sabrina,"Comedy, Romance",Sydney Pollack,62
Addicted to Love,"Comedy, Romance",Griffin Dunne,62
Night School,Comedy,Malcolm D. Lee,62
St. Elmo's Fire,"Drama, Romance, Comedy",Joel Schumacher,62
Waterworld,"Adventure, Action, Science Fiction",Kevin Reynolds,62
Final Fantasy: The Spirits Within,"Adventure, Action, Fantasy, Science Fiction, Thriller, Romance, Animation","Motonori Sakakibara, Hironobu Sakaguchi",62
Candy Jar,Comedy,Ben Shelton,62
Early Man,"Family, Comedy, Animation, Adventure",Nick Park,62
Neighbors,Comedy,Nicholas Stoller,62
A Lonely Place to Die,"Adventure, Action, Thriller, Crime",Julian Gilbey,62
Cadet Kelly,"Family, TV Movie, Comedy",Larry Shaw,62
Otherhood,Comedy,Cindy Chupack,62
Traffik,"Horror, Thriller",Deon Taylor,62
Don't Hang Up,"Horror, Thriller","Alexis Wajsbrot, Damien Macé",62
Hummingbird,"Action, Thriller",Steven Knight,62
3 Men and a Baby,Comedy,Leonard Nimoy,62
Nick of Time,"Thriller, Crime, Action",John Badham,62
Chernobyl: Abyss,"Drama, History, Adventure, Action, Fantasy, Mystery",Danila Kozlovsky,62
Tau,"Science Fiction, Thriller, Horror",Federico D'Alessandro,62
London Has Fallen,"Action, Thriller",Babak Najafi,62
Maps to the Stars,Drama,David Cronenberg,62
So Undercover,"Action, Comedy",Tom Vaughan,62
I Am Number Four,"Action, Thriller, Science Fiction, Adventure",D. J. Caruso,62
Bird on a Wire,"Action, Adventure, Comedy, Romance",John Badham,62
The Catholic School,Drama,Stefano Mordini,62
Blood Father,"Action, Thriller, Drama",Jean-François Richet,62
Turbo,"Animation, Family",David Soren,62
Orgazmo,Comedy,Trey Parker,62
The Kitchen,"Action, Crime, Drama",Andrea Berloff,62
Teen Wolf,"Comedy, Fantasy, Romance",Rod Daniel,62
Moonwalkers,Comedy,Antoine Bardou-Jacquet,62
Red Lights,Thriller,Rodrigo Cortés,62
Life-Size,"TV Movie, Family, Comedy, Fantasy",Mark Rosman,62
Sucker Punch,"Action, Fantasy, Thriller",Zack Snyder,62
Fanboys,"Adventure, Comedy",Kyle Newman,62
Ultras,Drama,Francesco Lettieri,62
Mortal Engines,"Adventure, Science Fiction",Christian Rivers,62
Welcome Mr. President!,Comedy,Riccardo Milani,62
The Little Mermaid,"Adventure, Family, Fantasy, Romance",Rob Marshall,62
The Inbetweeners 2,Comedy,"Damon Beesley, Iain Morris",62
Wendy Wu: Homecoming Warrior,"Family, Action, Adventure, TV Movie",John Laing,62
Knowing,"Action, Mystery, Science Fiction, Thriller",Alex Proyas,62
Wimbledon,"Comedy, Romance",Richard Loncraine,62
Get Smart,"Action, Comedy, Thriller",Peter Segal,62
The Hunted,"Drama, Action, Thriller, Crime",William Friedkin,62
Feast,"Action, Horror, Thriller",John Gulager,62
Deep Rising,"Adventure, Action, Horror, Science Fiction",Stephen Sommers,62
The Belko Experiment,"Horror, Thriller",Greg McLean,62
The New Mutants,"Science Fiction, Horror, Action, Mystery, Adventure",Josh Boone,62
The Dictator,Comedy,Larry Charles,62
The Joneses,"Comedy, Drama",Derrick Borte,62
Ironclad,"Romance, Adventure, Action, History",Jonathan English,62
Would I Lie to You? 2,Comedy,Thomas Gilou,62
"Run, Fatboy, Run","Comedy, Romance",David Schwimmer,62
The Rules of Attraction,"Drama, Romance, Comedy",Roger Avary,62
White Bird in a Blizzard,"Thriller, Drama",Gregg Araki,62
Blitz,"Crime, Action, Thriller",Elliott Lester,62
Dante's Peak,"Action, Adventure, Drama, Thriller",Roger Donaldson,62
Untraceable,Thriller,Gregory Hoblit,62
Put Grandma in the Freezer,Comedy,"Giancarlo Fontana, Giuseppe G. Stasi",62
Criminal,"Action, Crime, Science Fiction",Ariel Vromen,62
Never Been Kissed,"Romance, Comedy, Drama",Raja Gosnell,62
One Missed Call,"Horror, Mystery",Takashi Miike,62
Dumped,Comedy,Eloïse Lang,62
Magic Mike XXL,"Comedy, Drama",Gregory Jacobs,62
The Art of the Steal,"Comedy, Crime",Jonathan Sobol,62
Every Which Way but Loose,"Action, Comedy, Adventure, Romance, Drama",James Fargo,62
The Rugrats Movie,"Family, Animation, Comedy, Adventure","Igor Kovalyov, Norton Virgien",62
P2,"Horror, Thriller",Franck Khalfoun,62
In Her Shoes,"Comedy, Drama, Romance",Curtis Hanson,62
Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure",Michael Bay,62
I Kill Giants,"Fantasy, Drama",Anders Walter,62
He Never Died,"Comedy, Drama, Fantasy, Horror",Jason Krawczyk,62
Don't Tell Mom the Babysitter's Dead,"Comedy, Family",Stephen Herek,62
Bowfinger,Comedy,Frank Oz,62
Just Cause,"Action, Drama, Mystery, Thriller",Arne Glimcher,62
The Blue Lagoon,"Romance, Adventure",Randal Kleiser,62
Daddy or Mommy,Comedy,Martin Bourboulon,62
Le Chef,Comedy,Daniel Cohen,62
Happy Feet,"Animation, Comedy, Family",George Miller,62
Risen,"Action, History, Adventure, Drama",Kevin Reynolds,62
Freaks of Nature,"Science Fiction, Comedy, Horror",Robbie Pickering,62
Ilsa: She Wolf of the SS,"Thriller, Horror, War",Don Edmonds,62
Maniac Cop,"Action, Crime, Horror, Mystery",William Lustig,62
Interceptor,"Action, Thriller, Adventure",Matthew Reilly,62
Iron Mask,"Action, Adventure, Family, Fantasy",Oleg Stepchenko,62
Mark Felt: The Man Who Brought Down the White House,"Drama, History, Thriller",Peter Landesman,62
Green Card,"Comedy, Drama, Romance",Peter Weir,62
The Wrong Missy,"Comedy, Romance",Tyler Spindel,62
Bright,"Fantasy, Action, Thriller",David Ayer,62
Reign of Fire,"Adventure, Action, Fantasy",Rob Bowman,62
Return of the Hero,"History, Comedy",Laurent Tirard,62
The Inbetweeners Movie,Comedy,Ben Palmer,62
The Yards,"Crime, Drama, Thriller",James Gray,62
Rambo III,"Action, Adventure, Thriller, War",Peter MacDonald,62
Prospect,Science Fiction,"Christopher Caldwell, Zeek Earl",62
Top Five,"Drama, Comedy",Chris Rock,62
Ain't Them Bodies Saints,"Crime, Drama, Romance",David Lowery,62
Orca,"Adventure, Horror, Thriller",Michael Anderson,62
Session 9,"Horror, Mystery",Brad Anderson,62
Friday the 13th Part 2,Horror,Steve Miner,62
Road Trip,"Comedy, Adventure",Todd Phillips,62
Rabbit Without Ears,"Drama, Comedy, Romance",Til Schweiger,62
On Chesil Beach,"Drama, Romance",Dominic Cooke,62
Blood Work,"Crime, Thriller, Action",Clint Eastwood,62
After the Sunset,"Action, Comedy, Crime, Drama",Brett Ratner,62
Magic Mike,"Drama, Comedy",Steven Soderbergh,62
Saw V,"Horror, Thriller, Crime",David Hackl,62
The Omega Man,"Science Fiction, Action",Boris Sagal,62
Impostor,"Action, Science Fiction, Thriller",Gary Fleder,62
Krampus,"Horror, Comedy, Fantasy",Michael Dougherty,62
47 Ronin,"Drama, Action, Fantasy",Carl Rinsch,62
The Extraordinary Adventures of Adèle Blanc-Sec,"Fantasy, Adventure, Action, Mystery",Luc Besson,62
Shallow Hal,"Comedy, Romance","Peter Farrelly, Bobby Farrelly",62
Dead Man Down,"Thriller, Action, Crime, Drama",Niels Arden Oplev,62
Chinese Zodiac,"Action, Adventure",Jackie Chan,62
The Producers,Comedy,Susan Stroman,62
Moonraker,"Action, Adventure, Thriller, Science Fiction",Lewis Gilbert,62
On the Rocks,"Drama, Comedy",Sofia Coppola,62
The 355,"Action, Thriller",Simon Kinberg,62
Return to Sender,"Drama, Thriller",Fouad Mikati,62
Our Idiot Brother,"Comedy, Drama",Jesse Peretz,62
Devil's Knot,"Crime, Drama, Thriller",Atom Egoyan,61
The Suite Life Movie,"Adventure, Comedy, Family",Sean McNamara,61
Pride and Prejudice and Zombies,"Romance, Horror, Comedy, Thriller",Burr Steers,61
John Tucker Must Die,"Comedy, Romance",Betty Thomas,61
The Deep House,Horror,"Alexandre Bustillo, Julien Maury",61
Police Story: Lockdown,"Action, Crime, Drama",Ding Sheng,61
Planes: Fire & Rescue,"Animation, Comedy, Adventure, Family",Roberts Gannaway,61
This Means War,"Action, Comedy, Romance",McG,61
The Return,"Horror, Drama, Thriller",Asif Kapadia,61
Rising Sun,"Action, Drama, Thriller",Philip Kaufman,61
Morbius,"Action, Science Fiction, Fantasy",Daniel Espinosa,61
Herbie Rides Again,"Romance, Comedy, Family, Fantasy",Robert Stevenson,61
The Dark and the Wicked,"Horror, Drama, Mystery",Bryan Bertino,61
The Domestics,"Thriller, Horror",Mike P. Nelson,61
The Company You Keep,"Drama, Thriller",Robert Redford,61
Dream House,"Mystery, Drama, Thriller",Jim Sheridan,61
Divorce French Style,Comedy,Martin Bourboulon,61
Varsity Blues,"Comedy, Drama, Romance",Brian Robbins,61
First Daughter,"Family, Comedy, Drama, Romance",Forest Whitaker,61
S.W.A.T.,"Action, Thriller, Crime",Clark Johnson,61
Saw IV,"Horror, Thriller, Crime",Darren Lynn Bousman,61
Blown Away,Action,Stephen Hopkins,61
In the Shadow of the Moon,"Science Fiction, Thriller",Jim Mickle,61
That Awkward Moment,"Comedy, Romance",Tom Gormican,61
The Worst Week of My Life,Comedy,Alessandro Genovesi,61
"Yours, Mine & Ours","Comedy, Family, Romance",Raja Gosnell,61
Senseless,"Comedy, Romance",Penelope Spheeris,61
The Lovebirds,"Comedy, Action, Romance",Michael Showalter,61
Journey 2: The Mysterious Island,"Adventure, Action, Science Fiction",Brad Peyton,61
Push,"Science Fiction, Action, Adventure, Thriller",Paul McGuigan,61
Evita,"History, Drama",Alan Parker,61
Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction",Jonathan Mostow,61
Prom,"Comedy, Romance",Joe Nussbaum,61
Jumpin' Jack Flash,"Romance, Comedy, Thriller",Penny Marshall,61
Cheaper by the Dozen 2,"Comedy, Family, Adventure",Adam Shankman,61
Murder by Numbers,"Crime, Drama, Thriller",Barbet Schroeder,61
Assault on Precinct 13,"Thriller, Action, Adventure, Crime",Jean-François Richet,61
The Prodigy,"Horror, Thriller",Nicholas McCarthy,61
Zapped,"TV Movie, Comedy, Family",Peter DeLuise,61
Jumper,"Action, Adventure, Science Fiction",Doug Liman,61
Accident Man,"Action, Crime, Thriller",Jesse V. Johnson,61
Anchorman 2: The Legend Continues,Comedy,Adam McKay,61
The Eiger Sanction,"Action, Adventure, Drama",Clint Eastwood,61
Transporter 3,"Action, Adventure, Thriller, Crime",Olivier Megaton,61
American Pastoral,"Crime, Drama",Ewan McGregor,61
Airheads,"Comedy, Crime, Music",Michael Lehmann,61
Miracle at St. Anna,"Drama, War",Spike Lee,61
Conquest of the Planet of the Apes,"Action, Science Fiction",J. Lee Thompson,61
Under Suspicion,"Thriller, Crime, Drama",Stephen Hopkins,61
The Devil's Own,"Crime, Thriller, Drama",Alan J. Pakula,61
7500,"Action, Drama, Thriller",Patrick Vollrath,61
Cyberbully,Drama,Charles Binamé,61
xXx: Return of Xander Cage,"Action, Adventure, Crime",D. J. Caruso,61
Antz,"Adventure, Animation, Comedy, Family","Tim Johnson, Eric Darnell",61
Blonde,Drama,Andrew Dominik,61
World Trade Center,"Drama, History, Thriller",Oliver Stone,61
Happily Mixed Up,Comedy,Massimiliano Bruno,61
Ip Man: The Final Fight,"Action, Drama",Herman Yau,61
Sniper,"Action, Drama, Thriller",Luis Llosa,61
Death Wish,"Action, Crime, Drama, Thriller",Eli Roth,61
Laggies,"Comedy, Drama, Romance",Lynn Shelton,61
The Back-Up Plan,"Comedy, Romance",Alan Poul,61
Christmas with the Kranks,"Comedy, Family",Joe Roth,61
Snake Eyes,"Thriller, Crime, Mystery",Brian De Palma,61
Day Watch,"Fantasy, Action, Horror, Thriller",Timur Bekmambetov,61
Wakefield,Drama,Robin Swicord,61
Crossing Over,"Crime, Drama",Wayne Kramer,61
28 Days,"Comedy, Drama",Betty Thomas,61
Blue Thunder,"Drama, Action, Thriller",John Badham,61
Batman and Harley Quinn,"Adventure, Action, Animation, Science Fiction",Sam Liu,61
Palo Alto,Drama,Gia Coppola,61
Happiness Never Comes Alone,"Comedy, Romance",James Huth,61
Heavyweights,"Family, Comedy, Drama",Steven Brill,61
Rip Tide,"Family, Drama",Rhiannon Bannenberg,61
CHiPS,"Action, Comedy, Crime",Dax Shepard,61
Bad Lieutenant: Port of Call - New Orleans,"Drama, Crime",Werner Herzog,61
The Philadelphia Experiment,"Science Fiction, Adventure, Thriller",Stewart Raffill,61
Carrie,"Drama, Horror, TV Movie",David Carson,61
Idle Hands,"Comedy, Horror, Fantasy",Rodman Flender,61
Wheelman,"Action, Crime, Thriller",Jeremy Rush,61
Paper Towns,"Mystery, Drama, Romance",Jake Schreier,61
The Change-Up,Comedy,David Dobkin,61
Dick Tracy,"Adventure, Comedy, Crime",Warren Beatty,61
Shanghai Knights,"Action, Adventure, Comedy, Western",David Dobkin,61
Pacific Rim: Uprising,"Action, Fantasy, Science Fiction, Adventure",Steven S. DeKnight,61
"Crouching Tiger, Hidden Dragon: Sword of Destiny","Action, Adventure, Drama",Yuen Woo-ping,61
Everything Must Go,"Comedy, Drama, Romance",Dan Rush,61
The End?,Horror,Daniele Misischia,61
Home Again,"Comedy, Drama, Romance",Hallie Meyers-Shyer,61
Beauty and the Beast,"Fantasy, Romance",Christophe Gans,61
Happy Feet Two,"Animation, Comedy, Family",George Miller,61
Bedtime Stories,"Fantasy, Comedy, Family, Romance",Adam Shankman,61
The Ladykillers,"Comedy, Crime, Thriller","Ethan Coen, Joel Coen",61
American Mary,"Horror, Thriller","Jen Soska, Sylvia Soska",61
Jobs,"Drama, History",Joshua Michael Stern,61
Grabbers,"Science Fiction, Comedy, Thriller, Horror, Mystery",Jon Wright,61
Last Night,"Drama, Romance",Massy Tadjedin,61
Choke,"Comedy, Drama",Clark Gregg,61
Alien Resurrection,"Science Fiction, Horror, Action",Jean-Pierre Jeunet,61
Open Season,"Animation, Family, Adventure, Comedy","Jill Culton, Roger Allers",61
Wedding Unplanned,"Romance, Comedy",Reem Kherici,61
Ouija: Origin of Evil,Horror,Mike Flanagan,61
Star Wars: The Clone Wars,"Animation, Action, Science Fiction, Adventure",Dave Filoni,61
Housesitter,"Comedy, Romance",Frank Oz,61
Raising Helen,"Drama, Comedy, Romance",Garry Marshall,61
Silent Night,"Comedy, Science Fiction, Horror",Camille Griffin,61
Night at the Museum: Battle of the Smithsonian,"Adventure, Fantasy, Action, Comedy, Family",Shawn Levy,61
Asterix and the Vikings,"Family, Animation, Comedy, Adventure","Stefan Fjeldmark, Jesper Møller",61
Anger Management,Comedy,Peter Segal,61
The Weather Man,"Comedy, Drama",Gore Verbinski,61
Wasp Network,"Drama, History, Thriller",Olivier Assayas,61
Love & Friendship,"Drama, Romance, Comedy",Whit Stillman,61
Resident Evil: The Final Chapter,"Action, Horror, Science Fiction",Paul W. S. Anderson,61
LOL,"Drama, Comedy, Romance",Lisa Azuelos,61
Jurassic Park III,"Adventure, Action, Thriller, Science Fiction",Joe Johnston,61
The Brass Teapot,"Comedy, Fantasy, Thriller",Ramaa Mosley,61
Adore,Drama,Anne Fontaine,61
Under the Skin,"Thriller, Science Fiction, Drama",Jonathan Glazer,61
The Informant!,"Drama, Comedy, Crime",Steven Soderbergh,61
The Midnight Meat Train,"Horror, Mystery, Fantasy",Ryûhei Kitamura,61
Goosebumps 2: Haunted Halloween,"Adventure, Comedy, Fantasy, Family, Horror",Ari Sandel,61
Equals,"Drama, Romance, Science Fiction",Drake Doremus,61
The Babysitter,"Comedy, Horror",McG,61
Happy End,Drama,Michael Haneke,61
The Woman in Black,"Drama, Horror, Thriller",James Watkins,61
Tolo Tolo,"Comedy, Drama, Family",Checco Zalone,61
On the Line,Thriller,Romuald Boulanger,61
The Girl in the Spider's Web,Thriller,Fede Álvarez,61
American Gigolo,"Crime, Drama, Mystery",Paul Schrader,61
Hollywoodland,"Crime, Drama, Mystery, Thriller",Allen Coulter,61
In a Valley of Violence,"Western, Action",Ti West,61
Fallen,"Drama, Fantasy, Romance",Scott Hicks,61
Double Lover,"Romance, Thriller, Drama",François Ozon,61
The Ledge,"Drama, Thriller",Matthew Chapman,61
Jeepers Creepers 2,Horror,Victor Salva,61
Fired Up!,Comedy,Will Gluck,61
The Texas Chainsaw Massacre: The Beginning,"Horror, Thriller",Jonathan Liebesman,61
Just My Luck,"Comedy, Drama, Family, Fantasy, Romance",Donald Petrie,61
Body Snatchers,"Horror, Science Fiction, Thriller",Abel Ferrara,61
Mission: Impossible II,"Adventure, Action, Thriller",John Woo,61
David Brent: Life on the Road,"Comedy, Music",Ricky Gervais,61
Monster Trucks,"Action, Comedy, Science Fiction",Chris Wedge,61
The Cannonball Run,"Action, Comedy",Hal Needham,61
Rebels,Comedy,Allan Mauduit,61
Cinderella II: Dreams Come True,"Family, Animation, Romance, Fantasy",John Kafka,61
How I Became a Superhero,"Science Fiction, Adventure, Action, Comedy, Thriller",Douglas Attal,61
Diabolik,"Crime, Action, Drama, Mystery","Antonio Manetti, Marco Manetti",61
My Life in Ruins,"Comedy, Romance",Donald Petrie,61
The One,"Action, Science Fiction, Thriller",James Wong,61
The Amityville Horror,Horror,Andrew Douglas,61
The Zero Theorem,"Drama, Fantasy, Science Fiction",Terry Gilliam,61
Kristy,"Thriller, Horror",Olly Blackburn,61
Jack Ryan: Shadow Recruit,"Action, Drama, Thriller",Kenneth Branagh,61
A Thousand Words,"Drama, Comedy",Brian Robbins,61
Sex and the City 2,"Comedy, Drama, Romance",Michael Patrick King,61
Splinter,"Horror, Thriller",Toby Wilkins,61
Once Upon a Time in Bethlehem,"Comedy, Fantasy","Salvatore Ficarra, Valentino Picone",61
Brightburn,"Horror, Science Fiction, Thriller, Mystery",David Yarovesky,61
Peggy Sue Got Married,"Comedy, Drama, Fantasy",Francis Ford Coppola,61
Jersey Girl,"Comedy, Romance, Drama",Kevin Smith,61
Blood Ties,"Thriller, Crime, Drama",Guillaume Canet,61
Grown Ups 2,Comedy,Dennis Dugan,61
Friday the 13th: The Final Chapter,Horror,Joseph Zito,61
TMNT,"Adventure, Animation, Comedy, Family",Kevin Munroe,61
Geostorm,"Action, Science Fiction, Thriller",Dean Devlin,61
The November Man,"Crime, Action, Thriller",Roger Donaldson,61
Walking with Dinosaurs,"Animation, Family, Adventure","Barry Cook, Neil Nightingale",61
House,"Comedy, Horror",Steve Miner,61
The Strangers,"Horror, Mystery, Thriller",Bryan Bertino,61
The Legend of Zorro,"Action, Adventure, Western",Martin Campbell,61
Meander,"Horror, Science Fiction, Drama, Thriller",Mathieu Turi,61
The Lodge,"Drama, Horror, Thriller","Severin Fiala, Veronika Franz",61
Apostle,"Horror, Mystery, Thriller, Drama",Gareth Evans,61
Trophy Wife,Comedy,François Ozon,61
The Children,"Horror, Mystery, Thriller",Tom Shankland,61
Keeping Up with the Joneses,"Action, Comedy",Greg Mottola,61
Wayne's World 2,"Comedy, Music",Stephen Surjik,61
Hounds of Love,"Crime, Drama, Horror",Ben Young,61
Faces in the Crowd,"Thriller, Crime",Julien Magnat,61
Rememory,"Science Fiction, Drama, Mystery",Mark Palansky,61
Justice League,"Action, Adventure, Science Fiction",Zack Snyder,61
The Sorcerer's Apprentice,"Fantasy, Adventure, Action",Jon Turteltaub,61
In the Electric Mist,"Thriller, Drama, Crime, Mystery",Bertrand Tavernier,61
Amsterdam,"Comedy, Crime, Thriller, Mystery",David O. Russell,61
Mister Happiness,"Romance, Comedy",Alessandro Siani,61
Desierto,"Thriller, Drama",Jonás Cuarón,61
The Rite,"Drama, Thriller, Horror",Mikael Håfström,61
After the Dark,"Drama, Fantasy, Science Fiction, Thriller",John Huddles,61
V/H/S,"Thriller, Horror","Glenn McQuaid, Ti West, Matt Bettinelli-Olpin, Tyler Gillett, Chad Villella, Justin Martinez, David Bruckner, Joe Swanberg, Adam Wingard",61
Nine 1/2 Weeks,"Romance, Drama",Adrian Lyne,61
The Quest,"Action, Adventure",Jean-Claude Van Damme,61
Maid in Manhattan,"Comedy, Drama, Romance",Wayne Wang,61
Lost Girls,"Drama, Mystery, Thriller, History",Liz Garbus,61
Jackass Presents: Bad Grandpa,Comedy,Jeff Tremaine,61
A Haunted House 2,"Comedy, Horror",Michael Tiddes,61
Ad Astra,"Science Fiction, Drama",James Gray,61
Allegiant,"Adventure, Science Fiction, Action, Mystery",Robert Schwentke,61
Blades of Glory,Comedy,"Josh Gordon, Will Speck",61
Duplex,Comedy,Danny DeVito,61
